instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
22,1/1/2011,1,0,1,21,0,6,0,2,0.40,0.41,0.87,0.19,3.00,31.00,34.00
23,1/1/2011,1,0,1,22,0,6,0,2,0.40,0.41,0.94,0.22,11.00,17.00,28.00
24,1/1/2011,1,0,1,23,0,6,0,2,0.46,0.45,0.88,0.30,15.00,24.00,39.00
25,1/2/2011,1,0,1,0,0,0,0,2,0.46,0.45,0.88,0.30,4.00,13.00,17.00
26,1/2/2011,1,0,1,1,0,0,0,2,0.44,0.44,0.94,0.25,1.00,16.00,17.00
27,1/2/2011,1,0,1,2,0,0,0,2,0.42,0.42,1.00,0.28,1.00,8.00,9.00
28,1/2/2011,1,0,1,3,0,0,0,2,0.46,0.45,0.94,0.19,2.00,4.00,6.00
29,1/2/2011,1,0,1,4,0,0,0,2,0.46,0.45,0.94,0.19,2.00,1.00,3.00
30,1/2/2011,1,0,1,6,0,0,0,3,0.42,0.42,0.77,0.30,0.00,2.00,2.00
31,1/2/2011,1,0,1,7,0,0,0,2,0.40,0.41,0.76,0.19,0.00,1.00,1.00
32,1/2/2011,1,0,1,8,0,0,0,3,0.40,0.41,0.71,0.22,0.00,8.00,8.00
33,1/2/2011,1,0,1,9,0,0,0,2,0.38,0.39,0.76,0.22,1.00,19.00,20.00
34,1/2/2011,1,0,1,10,0,0,0,2,0.36,0.35,0.81,0.22,7.00,46.00,53.00
35,1/2/2011,1,0,1,11,0,0,0,2,0.36,0.33,0.71,0.25,16.00,54.00,70.00
36,1/2/2011,1,0,1,12,0,0,0,2,0.36,0.33,0.66,0.30,20.00,73.00,93.00
37,1/2/2011,1,0,1,13,0,0,0,2,0.36,0.35,0.66,0.13,11.00,64.00,75.00
38,1/2/2011,1,0,1,14,0,0,0,3,0.36,0.35,0.76,0.19,4.00,55.00,59.00
39,1/2/2011,1,0,1,15,0,0,0,3,0.34,0.33,0.81,0.16,19.00,55.00,74.00
40,1/2/2011,1,0,1,16,0,0,0,3,0.34,0.33,0.71,0.16,9.00,67.00,76.00
41,1/2/2011,1,0,1,17,0,0,0,1,0.34,0.33,0.57,0.19,7.00,58.00,65.00
42,1/2/2011,1,0,1,18,0,0,0,2,0.36,0.33,0.46,0.33,10.00,43.00,53.00
43,1/2/2011,1,0,1,19,0,0,0,1,0.32,0.29,0.42,0.45,1.00,29.00,30.00
44,1/2/2011,1,0,1,20,0,0,0,1,0.30,0.27,0.39,0.36,5.00,17.00,22.00
45,1/2/2011,1,0,1,21,0,0,0,1,0.26,0.23,0.44,0.33,11.00,20.00,31.00
46,1/2/2011,1,0,1,22,0,0,0,1,0.24,0.21,0.44,0.30,0.00,9.00,9.00
47,1/2/2011,1,0,1,23,0,0,0,1,0.22,0.23,0.47,0.16,0.00,8.00,8.00
48,1/3/2011,1,0,1,0,0,1,1,1,0.22,0.20,0.44,0.36,0.00,5.00,5.00
49,1/3/2011,1,0,1,1,0,1,1,1,0.20,0.17,0.44,0.42,0.00,2.00,2.00
50,1/3/2011,1,0,1,4,0,1,1,1,0.16,0.14,0.47,0.39,0.00,1.00,1.00
51,1/3/2011,1,0,1,5,0,1,1,1,0.16,0.14,0.47,0.28,0.00,3.00,3.00
52,1/3/2011,1,0,1,6,0,1,1,1,0.14,0.11,0.50,0.39,0.00,30.00,30.00
53,1/3/2011,1,0,1,7,0,1,1,1,0.14,0.14,0.50,0.19,1.00,63.00,64.00
54,1/3/2011,1,0,1,8,0,1,1,1,0.14,0.12,0.50,0.28,1.00,153.00,154.00
55,1/3/2011,1,0,1,9,0,1,1,1,0.16,0.14,0.43,0.39,7.00,81.00,88.00
56,1/3/2011,1,0,1,10,0,1,1,1,0.18,0.17,0.43,0.25,11.00,33.00,44.00
57,1/3/2011,1,0,1,11,0,1,1,1,0.20,0.18,0.40,0.33,10.00,41.00,51.00
58,1/3/2011,1,0,1,12,0,1,1,1,0.22,0.21,0.35,0.30,13.00,48.00,61.00
59,1/3/2011,1,0,1,13,0,1,1,1,0.24,0.21,0.35,0.28,8.00,53.00,61.00
60,1/3/2011,1,0,1,14,0,1,1,1,0.26,0.24,0.30,0.28,11.00,66.00,77.00
61,1/3/2011,1,0,1,15,0,1,1,1,0.26,0.24,0.30,0.25,14.00,58.00,72.00
62,1/3/2011,1,0,1,16,0,1,1,1,0.26,0.24,0.30,0.25,9.00,67.00,76.00
63,1/3/2011,1,0,1,17,0,1,1,1,0.24,0.23,0.30,0.22,11.00,146.00,157.00
64,1/3/2011,1,0,1,18,0,1,1,1,0.24,0.26,0.32,0.10,9.00,148.00,157.00
65,1/3/2011,1,0,1,19,0,1,1,1,0.20,0.26,0.47,0.00,8.00,102.00,110.00
66,1/3/2011,1,0,1,20,0,1,1,1,0.20,0.23,0.47,0.10,3.00,49.00,52.00
67,1/3/2011,1,0,1,21,0,1,1,1,0.18,0.20,0.64,0.13,3.00,49.00,52.00
68,1/3/2011,1,0,1,22,0,1,1,1,0.14,0.15,0.69,0.13,0.00,20.00,20.00
69,1/3/2011,1,0,1,23,0,1,1,1,0.18,0.21,0.55,0.10,1.00,11.00,12.00
70,1/4/2011,1,0,1,0,0,2,1,1,0.16,0.18,0.55,0.10,0.00,5.00,5.00
71,1/4/2011,1,0,1,1,0,2,1,1,0.16,0.18,0.59,0.10,0.00,2.00,2.00
72,1/4/2011,1,0,1,2,0,2,1,1,0.14,0.15,0.63,0.13,0.00,1.00,1.00
73,1/4/2011,1,0,1,4,0,2,1,1,0.14,0.18,0.63,0.09,0.00,2.00,2.00
74,1/4/2011,1,0,1,5,0,2,1,1,0.12,0.15,0.68,0.10,0.00,4.00,4.00
75,1/4/2011,1,0,1,6,0,2,1,1,0.12,0.15,0.74,0.10,0.00,36.00,36.00
76,1/4/2011,1,0,1,7,0,2,1,1,0.12,0.15,0.74,0.13,2.00,92.00,94.00
77,1/4/2011,1,0,1,8,0,2,1,1,0.14,0.15,0.69,0.16,2.00,177.00,179.00
78,1/4/2011,1,0,1,9,0,2,1,1,0.16,0.15,0.64,0.22,2.00,98.00,100.00
79,1/4/2011,1,0,1,10,0,2,1,2,0.16,0.14,0.69,0.33,5.00,37.00,42.00
80,1/4/2011,1,0,1,11,0,2,1,1,0.22,0.21,0.51,0.30,7.00,50.00,57.00
81,1/4/2011,1,0,1,12,0,2,1,1,0.22,0.23,0.51,0.16,12.00,66.00,78.00
82,1/4/2011,1,0,1,13,0,2,1,1,0.24,0.23,0.56,0.19,18.00,79.00,97.00
83,1/4/2011,1,0,1,14,0,2,1,1,0.26,0.26,0.52,0.22,9.00,54.00,63.00
84,1/4/2011,1,0,1,15,0,2,1,1,0.28,0.27,0.52,0.25,17.00,48.00,65.00
85,1/4/2011,1,0,1,16,0,2,1,1,0.30,0.29,0.49,0.25,15.00,68.00,83.00
86,1/4/2011,1,0,1,17,0,2,1,1,0.28,0.27,0.48,0.22,10.00,202.00,212.00
87,1/4/2011,1,0,1,18,0,2,1,1,0.26,0.26,0.48,0.19,3.00,179.00,182.00
88,1/4/2011,1,0,1,19,0,2,1,1,0.24,0.26,0.48,0.10,2.00,110.00,112.00
89,1/4/2011,1,0,1,20,0,2,1,1,0.24,0.26,0.48,0.10,1.00,53.00,54.00
90,1/4/2011,1,0,1,21,0,2,1,1,0.22,0.27,0.64,0.00,0.00,48.00,48.00
91,1/4/2011,1,0,1,22,0,2,1,1,0.22,0.26,0.64,0.09,1.00,34.00,35.00
92,1/4/2011,1,0,1,23,0,2,1,1,0.20,0.23,0.69,0.09,2.00,9.00,11.00
93,1/5/2011,1,0,1,0,0,3,1,1,0.20,0.26,0.64,0.00,0.00,6.00,6.00
94,1/5/2011,1,0,1,1,0,3,1,1,0.16,0.20,0.74,0.09,0.00,6.00,6.00
95,1/5/2011,1,0,1,2,0,3,1,1,0.16,0.20,0.74,0.09,0.00,2.00,2.00
96,1/5/2011,1,0,1,4,0,3,1,1,0.24,0.23,0.48,0.22,0.00,2.00,2.00
97,1/5/2011,1,0,1,5,0,3,1,1,0.22,0.23,0.47,0.16,0.00,3.00,3.00
98,1/5/2011,1,0,1,6,0,3,1,1,0.20,0.20,0.47,0.22,0.00,33.00,33.00
99,1/5/2011,1,0,1,7,0,3,1,1,0.18,0.18,0.43,0.19,1.00,87.00,88.00
100,1/5/2011,1,0,1,8,0,3,1,1,0.20,0.18,0.40,0.30,3.00,192.00,195.00
101,1/5/2011,1,0,1,9,0,3,1,1,0.22,0.20,0.37,0.33,6.00,109.00,115.00
102,1/5/2011,1,0,1,10,0,3,1,1,0.22,0.20,0.37,0.33,4.00,53.00,57.00
103,1/5/2011,1,0,1,11,0,3,1,1,0.26,0.23,0.33,0.33,12.00,34.00,46.00
104,1/5/2011,1,0,1,12,0,3,1,1,0.26,0.23,0.33,0.33,5.00,74.00,79.00
105,1/5/2011,1,0,1,13,0,3,1,1,0.28,0.26,0.30,0.30,6.00,65.00,71.00
106,1/5/2011,1,0,1,14,0,3,1,1,0.30,0.29,0.28,0.19,10.00,52.00,62.00
107,1/5/2011,1,0,1,15,0,3,1,1,0.30,0.29,0.28,0.19,7.00,55.00,62.00
108,1/5/2011,1,0,1,16,0,3,1,1,0.30,0.32,0.28,0.09,4.00,85.00,89.00
109,1/5/2011,1,0,1,17,0,3,1,1,0.24,0.23,0.38,0.19,4.00,186.00,190.00
110,1/5/2011,1,0,1,18,0,3,1,1,0.24,0.24,0.38,0.13,3.00,166.00,169.00
111,1/5/2011,1,0,1,19,0,3,1,1,0.24,0.26,0.38,0.10,5.00,127.00,132.00
112,1/5/2011,1,0,1,20,0,3,1,1,0.22,0.23,0.47,0.16,7.00,82.00,89.00
113,1/5/2011,1,0,1,21,0,3,1,1,0.20,0.20,0.51,0.19,3.00,40.00,43.00
114,1/5/2011,1,0,1,22,0,3,1,1,0.18,0.20,0.55,0.13,1.00,41.00,42.00
115,1/5/2011,1,0,1,23,0,3,1,1,0.20,0.26,0.47,0.00,1.00,18.00,19.00
116,1/6/2011,1,0,1,0,0,4,1,1,0.18,0.24,0.55,0.00,0.00,11.00,11.00
117,1/6/2011,1,0,1,1,0,4,1,1,0.16,0.23,0.64,0.00,0.00,4.00,4.00
118,1/6/2011,1,0,1,2,0,4,1,1,0.16,0.23,0.64,0.00,0.00,2.00,2.00
119,1/6/2011,1,0,1,4,0,4,1,2,0.16,0.20,0.64,0.09,0.00,1.00,1.00
120,1/6/2011,1,0,1,5,0,4,1,2,0.14,0.18,0.69,0.09,0.00,4.00,4.00
121,1/6/2011,1,0,1,6,0,4,1,2,0.14,0.17,0.63,0.10,0.00,36.00,36.00
122,1/6/2011,1,0,1,7,0,4,1,2,0.16,0.23,0.59,0.00,0.00,95.00,95.00
123,1/6/2011,1,0,1,8,0,4,1,1,0.16,0.23,0.59,0.00,3.00,216.00,219.00
124,1/6/2011,1,0,1,9,0,4,1,2,0.18,0.24,0.51,0.00,6.00,116.00,122.00
125,1/6/2011,1,0,1,10,0,4,1,1,0.20,0.26,0.47,0.00,3.00,42.00,45.00
126,1/6/2011,1,0,1,11,0,4,1,1,0.22,0.26,0.44,0.09,2.00,57.00,59.00
127,1/6/2011,1,0,1,12,0,4,1,1,0.26,0.29,0.35,0.00,6.00,78.00,84.00
128,1/6/2011,1,0,1,13,0,4,1,1,0.26,0.27,0.35,0.10,12.00,55.00,67.00
129,1/6/2011,1,0,1,14,0,4,1,1,0.28,0.27,0.36,0.16,11.00,59.00,70.00
130,1/6/2011,1,0,1,15,0,4,1,1,0.28,0.27,0.36,0.00,8.00,54.00,62.00
131,1/6/2011,1,0,1,16,0,4,1,1,0.26,0.26,0.38,0.16,12.00,74.00,86.00
132,1/6/2011,1,0,1,17,0,4,1,1,0.22,0.23,0.51,0.16,9.00,163.00,172.00
133,1/6/2011,1,0,1,18,0,4,1,1,0.22,0.23,0.51,0.13,5.00,158.00,163.00
134,1/6/2011,1,0,1,19,0,4,1,1,0.22,0.26,0.55,0.09,3.00,109.00,112.00
135,1/6/2011,1,0,1,20,0,4,1,1,0.20,0.21,0.51,0.16,3.00,66.00,69.00
136,1/6/2011,1,0,1,21,0,4,1,2,0.22,0.21,0.55,0.22,0.00,48.00,48.00
137,1/6/2011,1,0,1,22,0,4,1,2,0.22,0.21,0.51,0.28,1.00,51.00,52.00
138,1/6/2011,1,0,1,23,0,4,1,2,0.20,0.20,0.59,0.19,4.00,19.00,23.00
139,1/7/2011,1,0,1,0,0,5,1,2,0.20,0.20,0.64,0.19,4.00,13.00,17.00
140,1/7/2011,1,0,1,1,0,5,1,2,0.20,0.20,0.69,0.22,2.00,5.00,7.00
141,1/7/2011,1,0,1,2,0,5,1,2,0.20,0.20,0.69,0.22,0.00,1.00,1.00
142,1/7/2011,1,0,1,4,0,5,1,2,0.20,0.21,0.69,0.13,0.00,1.00,1.00
143,1/7/2011,1,0,1,5,0,5,1,3,0.22,0.27,0.55,0.00,0.00,5.00,5.00
144,1/7/2011,1,0,1,6,0,5,1,2,0.20,0.26,0.69,0.00,8.00,26.00,34.00
145,1/7/2011,1,0,1,7,0,5,1,1,0.20,0.21,0.69,0.13,8.00,76.00,84.00
146,1/7/2011,1,0,1,8,0,5,1,1,0.20,0.20,0.51,0.25,20.00,190.00,210.00
147,1/7/2011,1,0,1,9,0,5,1,1,0.20,0.18,0.47,0.30,9.00,125.00,134.00
148,1/7/2011,1,0,1,10,0,5,1,1,0.22,0.20,0.37,0.33,16.00,47.00,63.00
149,1/7/2011,1,0,1,11,0,5,1,2,0.20,0.20,0.40,0.22,19.00,48.00,67.00
150,1/7/2011,1,0,1,12,0,5,1,2,0.20,0.20,0.37,0.25,9.00,50.00,59.00
151,1/7/2011,1,0,1,13,0,5,1,2,0.20,0.18,0.37,0.28,9.00,64.00,73.00
152,1/7/2011,1,0,1,14,0,5,1,2,0.20,0.20,0.40,0.25,7.00,43.00,50.00
153,1/7/2011,1,0,1,15,0,5,1,2,0.20,0.21,0.37,0.16,9.00,63.00,72.00
154,1/7/2011,1,0,1,16,0,5,1,2,0.20,0.21,0.37,0.16,5.00,82.00,87.00
155,1/7/2011,1,0,1,17,0,5,1,2,0.20,0.26,0.37,0.00,9.00,178.00,187.00
156,1/7/2011,1,0,1,18,0,5,1,1,0.20,0.23,0.40,0.09,7.00,116.00,123.00
157,1/7/2011,1,0,1,19,0,5,1,1,0.16,0.20,0.55,0.09,3.00,92.00,95.00
158,1/7/2011,1,0,1,20,0,5,1,1,0.18,0.21,0.47,0.10,1.00,50.00,51.00
159,1/7/2011,1,0,1,21,0,5,1,1,0.18,0.20,0.47,0.13,0.00,39.00,39.00
160,1/7/2011,1,0,1,22,0,5,1,2,0.18,0.20,0.43,0.16,2.00,34.00,36.00
161,1/7/2011,1,0,1,23,0,5,1,2,0.18,0.20,0.51,0.16,1.00,14.00,15.00
162,1/8/2011,1,0,1,0,0,6,0,2,0.18,0.20,0.51,0.16,1.00,24.00,25.00
163,1/8/2011,1,0,1,1,0,6,0,2,0.18,0.21,0.55,0.09,1.00,15.00,16.00
164,1/8/2011,1,0,1,2,0,6,0,2,0.18,0.24,0.55,0.00,3.00,13.00,16.00
165,1/8/2011,1,0,1,3,0,6,0,3,0.18,0.20,0.55,0.16,0.00,7.00,7.00
166,1/8/2011,1,0,1,4,0,6,0,3,0.18,0.20,0.55,0.16,0.00,1.00,1.00
167,1/8/2011,1,0,1,5,0,6,0,2,0.16,0.17,0.74,0.16,0.00,5.00,5.00
168,1/8/2011,1,0,1,6,0,6,0,2,0.16,0.17,0.74,0.16,0.00,2.00,2.00
169,1/8/2011,1,0,1,7,0,6,0,2,0.16,0.18,0.74,0.10,1.00,8.00,9.00
170,1/8/2011,1,0,1,8,0,6,0,3,0.16,0.18,0.93,0.10,0.00,15.00,15.00
171,1/8/2011,1,0,1,9,0,6,0,3,0.16,0.18,0.93,0.10,0.00,20.00,20.00
172,1/8/2011,1,0,1,10,0,6,0,2,0.18,0.20,0.80,0.16,5.00,56.00,61.00
173,1/8/2011,1,0,1,11,0,6,0,2,0.20,0.18,0.69,0.39,2.00,60.00,62.00
174,1/8/2011,1,0,1,12,0,6,0,2,0.20,0.18,0.59,0.36,8.00,90.00,98.00
175,1/8/2011,1,0,1,13,0,6,0,1,0.20,0.18,0.44,0.33,7.00,95.00,102.00
176,1/8/2011,1,0,1,14,0,6,0,1,0.20,0.17,0.32,0.49,12.00,83.00,95.00
177,1/8/2011,1,0,1,15,0,6,0,1,0.20,0.17,0.32,0.45,5.00,69.00,74.00
178,1/8/2011,1,0,1,16,0,6,0,1,0.18,0.14,0.29,0.45,8.00,68.00,76.00
179,1/8/2011,1,0,1,17,0,6,0,1,0.16,0.12,0.37,0.55,5.00,64.00,69.00
180,1/8/2011,1,0,1,18,0,6,0,1,0.14,0.12,0.39,0.30,3.00,52.00,55.00
181,1/8/2011,1,0,1,19,0,6,0,1,0.14,0.12,0.36,0.25,4.00,26.00,30.00
182,1/8/2011,1,0,1,20,0,6,0,1,0.12,0.12,0.36,0.25,0.00,28.00,28.00
183,1/8/2011,1,0,1,21,0,6,0,1,0.12,0.11,0.39,0.36,2.00,35.00,37.00
184,1/8/2011,1,0,1,22,0,6,0,1,0.12,0.11,0.36,0.39,1.00,33.00,34.00
185,1/8/2011,1,0,1,23,0,6,0,1,0.10,0.06,0.39,0.45,0.00,22.00,22.00
186,1/9/2011,1,0,1,0,0,0,0,1,0.10,0.08,0.42,0.39,1.00,24.00,25.00
187,1/9/2011,1,0,1,1,0,0,0,1,0.10,0.06,0.42,0.46,0.00,12.00,12.00
188,1/9/2011,1,0,1,2,0,0,0,1,0.10,0.06,0.46,0.46,0.00,11.00,11.00
189,1/9/2011,1,0,1,3,0,0,0,1,0.10,0.08,0.46,0.42,0.00,4.00,4.00
190,1/9/2011,1,0,1,4,0,0,0,1,0.08,0.09,0.53,0.19,0.00,1.00,1.00
191,1/9/2011,1,0,1,5,0,0,0,1,0.08,0.09,0.53,0.19,0.00,1.00,1.00
192,1/9/2011,1,0,1,6,0,0,0,1,0.10,0.09,0.49,0.28,0.00,1.00,1.00
193,1/9/2011,1,0,1,7,0,0,0,1,0.08,0.09,0.53,0.19,1.00,5.00,6.00
194,1/9/2011,1,0,1,8,0,0,0,1,0.10,0.09,0.49,0.28,0.00,10.00,10.00
195,1/9/2011,1,0,1,9,0,0,0,1,0.12,0.08,0.46,0.52,0.00,19.00,19.00
196,1/9/2011,1,0,1,10,0,0,0,1,0.14,0.11,0.43,0.39,0.00,49.00,49.00
197,1/9/2011,1,0,1,11,0,0,0,1,0.16,0.12,0.40,0.52,2.00,47.00,49.00
198,1/9/2011,1,0,1,12,0,0,0,1,0.18,0.14,0.37,0.45,4.00,79.00,83.00
199,1/9/2011,1,0,1,13,0,0,0,1,0.20,0.17,0.34,0.45,6.00,69.00,75.00
200,1/9/2011,1,0,1,14,0,0,0,1,0.22,0.18,0.32,0.46,8.00,64.00,72.00
201,1/9/2011,1,0,1,15,0,0,0,1,0.22,0.20,0.35,0.36,5.00,77.00,82.00
202,1/9/2011,1,0,1,16,0,0,0,1,0.20,0.17,0.34,0.45,13.00,79.00,92.00
203,1/9/2011,1,0,1,17,0,0,0,1,0.18,0.15,0.37,0.39,3.00,59.00,62.00
204,1/9/2011,1,0,1,18,0,0,0,1,0.16,0.14,0.40,0.33,4.00,44.00,48.00
205,1/9/2011,1,0,1,19,0,0,0,1,0.16,0.14,0.43,0.33,1.00,40.00,41.00
206,1/9/2011,1,0,1,20,0,0,0,1,0.14,0.12,0.46,0.25,0.00,38.00,38.00
207,1/9/2011,1,0,1,21,0,0,0,1,0.14,0.11,0.46,0.42,1.00,19.00,20.00
208,1/9/2011,1,0,1,22,0,0,0,1,0.14,0.12,0.46,0.30,5.00,10.00,15.00
209,1/9/2011,1,0,1,23,0,0,0,1,0.12,0.14,0.50,0.19,0.00,6.00,6.00
210,1/10/2011,1,0,1,0,0,1,1,1,0.12,0.12,0.50,0.28,2.00,3.00,5.00
211,1/10/2011,1,0,1,1,0,1,1,1,0.12,0.12,0.50,0.28,1.00,0.00,1.00
212,1/10/2011,1,0,1,2,0,1,1,1,0.12,0.12,0.50,0.22,0.00,3.00,3.00
213,1/10/2011,1,0,1,3,0,1,1,1,0.12,0.12,0.50,0.22,0.00,1.00,1.00
214,1/10/2011,1,0,1,4,0,1,1,1,0.10,0.12,0.54,0.13,1.00,2.00,3.00
215,1/10/2011,1,0,1,5,0,1,1,1,0.10,0.11,0.54,0.25,0.00,3.00,3.00
216,1/10/2011,1,0,1,6,0,1,1,1,0.12,0.12,0.50,0.28,0.00,31.00,31.00
217,1/10/2011,1,0,1,7,0,1,1,1,0.12,0.12,0.50,0.22,2.00,75.00,77.00
218,1/10/2011,1,0,1,8,0,1,1,2,0.12,0.12,0.50,0.28,4.00,184.00,188.00
219,1/10/2011,1,0,1,9,0,1,1,2,0.14,0.12,0.50,0.25,2.00,92.00,94.00
220,1/10/2011,1,0,1,10,0,1,1,2,0.14,0.12,0.50,0.30,0.00,31.00,31.00
221,1/10/2011,1,0,1,11,0,1,1,2,0.16,0.14,0.47,0.28,2.00,28.00,30.00
222,1/10/2011,1,0,1,12,0,1,1,2,0.20,0.18,0.40,0.28,5.00,47.00,52.00
223,1/10/2011,1,0,1,13,0,1,1,2,0.20,0.18,0.40,0.28,4.00,50.00,54.00
224,1/10/2011,1,0,1,14,0,1,1,2,0.20,0.20,0.40,0.22,0.00,47.00,47.00
225,1/10/2011,1,0,1,15,0,1,1,2,0.20,0.20,0.40,0.22,2.00,43.00,45.00
226,1/10/2011,1,0,1,16,0,1,1,1,0.20,0.21,0.40,0.13,4.00,70.00,74.00
227,1/10/2011,1,0,1,17,0,1,1,1,0.20,0.23,0.40,0.10,4.00,174.00,178.00
228,1/10/2011,1,0,1,18,0,1,1,1,0.20,0.20,0.40,0.22,1.00,154.00,155.00
229,1/10/2011,1,0,1,19,0,1,1,1,0.16,0.17,0.47,0.16,3.00,92.00,95.00
230,1/10/2011,1,0,1,20,0,1,1,1,0.16,0.17,0.50,0.16,1.00,73.00,74.00
231,1/10/2011,1,0,1,21,0,1,1,1,0.14,0.14,0.59,0.19,1.00,37.00,38.00
232,1/10/2011,1,0,1,22,0,1,1,1,0.14,0.15,0.59,0.16,2.00,22.00,24.00
233,1/10/2011,1,0,1,23,0,1,1,1,0.14,0.15,0.59,0.16,0.00,18.00,18.00
234,1/11/2011,1,0,1,0,0,2,1,1,0.14,0.17,0.59,0.10,2.00,10.00,12.00
235,1/11/2011,1,0,1,1,0,2,1,1,0.14,0.15,0.59,0.16,0.00,3.00,3.00
236,1/11/2011,1,0,1,2,0,2,1,2,0.16,0.15,0.55,0.19,0.00,3.00,3.00
237,1/11/2011,1,0,1,5,0,2,1,2,0.16,0.18,0.55,0.13,0.00,6.00,6.00
238,1/11/2011,1,0,1,6,0,2,1,2,0.16,0.18,0.55,0.13,0.00,27.00,27.00
239,1/11/2011,1,0,1,7,0,2,1,2,0.16,0.23,0.55,0.00,2.00,97.00,99.00
240,1/11/2011,1,0,1,8,0,2,1,2,0.18,0.21,0.51,0.09,3.00,214.00,217.00
241,1/11/2011,1,0,1,9,0,2,1,2,0.18,0.20,0.51,0.16,3.00,127.00,130.00
242,1/11/2011,1,0,1,10,0,2,1,2,0.20,0.21,0.51,0.16,3.00,51.00,54.00
243,1/11/2011,1,0,1,11,0,2,1,2,0.20,0.21,0.47,0.13,4.00,31.00,35.00
244,1/11/2011,1,0,1,12,0,2,1,2,0.20,0.23,0.51,0.10,2.00,55.00,57.00
245,1/11/2011,1,0,1,13,0,2,1,2,0.20,0.23,0.59,0.09,6.00,46.00,52.00
246,1/11/2011,1,0,1,14,0,2,1,2,0.20,0.23,0.59,0.09,3.00,60.00,63.00
247,1/11/2011,1,0,1,15,0,2,1,2,0.16,0.20,0.80,0.09,2.00,45.00,47.00
248,1/11/2011,1,0,1,16,0,2,1,2,0.16,0.15,0.86,0.22,4.00,72.00,76.00
249,1/11/2011,1,0,1,17,0,2,1,2,0.16,0.15,0.86,0.22,6.00,130.00,136.00
250,1/11/2011,1,0,1,18,0,2,1,3,0.16,0.18,0.93,0.10,1.00,94.00,95.00
251,1/11/2011,1,0,1,19,0,2,1,3,0.16,0.23,0.93,0.00,0.00,51.00,51.00
252,1/11/2011,1,0,1,20,0,2,1,3,0.16,0.15,0.93,0.19,0.00,32.00,32.00
253,1/11/2011,1,0,1,21,0,2,1,3,0.16,0.20,0.86,0.09,0.00,20.00,20.00
254,1/11/2011,1,0,1,22,0,2,1,3,0.16,0.18,0.93,0.10,1.00,28.00,29.00
255,1/11/2011,1,0,1,23,0,2,1,3,0.16,0.20,0.93,0.09,1.00,18.00,19.00
256,1/12/2011,1,0,1,0,0,3,1,2,0.16,0.20,0.86,0.09,0.00,7.00,7.00
257,1/12/2011,1,0,1,1,0,3,1,2,0.16,0.18,0.86,0.10,0.00,6.00,6.00
258,1/12/2011,1,0,1,2,0,3,1,1,0.14,0.15,0.86,0.13,0.00,1.00,1.00
259,1/12/2011,1,0,1,5,0,3,1,1,0.14,0.15,0.86,0.16,0.00,5.00,5.00
260,1/12/2011,1,0,1,6,0,3,1,1,0.12,0.15,0.93,0.13,0.00,16.00,16.00
261,1/12/2011,1,0,1,7,0,3,1,1,0.14,0.15,0.69,0.13,0.00,54.00,54.00
